fips,year,srf_strict_count,srf_strict_amount,srf_incl_count,srf_incl_amount,srf_strict_amount_real,srf_incl_amount_real
3345140,2018,3.0,8519000.0,3,8519000.0,8247253.01321458,8247253.01321458
3345140,2021,1.0,600000.0,1,600000.0,533295.4101041704,533295.4101041704
3345140,2023,1.0,500000.0,1,500000.0,404488.2010791745,404488.2010791745
3345140,2024,1.0,500000.0,1,500000.0,395053.92486074346,395053.92486074346
3350260,2017,3.0,13179000.0,3,13179000.0,13179000.0,13179000.0
3350260,2018,1.0,2600000.0,1,2600000.0,2517062.7813543733,2517062.7813543733
3350260,2021,1.0,6115000.0,1,6115000.0,5435169.054645004,5435169.054645004
3350260,2022,1.0,6900000.0,1,6900000.0,5684158.497405058,5684158.497405058
3350260,2024,1.0,2500000.0,1,2500000.0,1975269.6243037174,1975269.6243037174
3350260,2025,1.0,865000.0,1,865000.0,667865.9944254422,667865.9944254422
3403580,2021,1.0,1602514.0,1,1602514.0,1424355.6013794576,1424355.6013794576
3410000,2021,1.0,5125856.0,1,5125856.0,4555992.462758204,4555992.462758204
3410000,2023,2.0,8707990.0,2,8707990.0,7044558.420230882,7044558.420230882
3419390,2019,,,1,66822.0,,63985.5218178162
3419390,2020,,,1,105593.0,,99299.40378792153
3419390,2022,1.0,10396039.0,2,10417366.0,8564164.263942664,8581733.256446166
3419390,2023,,,4,160674.0,,129981.47444039058
3421000,2017,2.0,13085671.0,2,13085671.0,13085671.0,13085671.0
3421000,2019,1.0,5267436.0,2,6067511.0,5043842.4635890955,5809955.665354821
3421000,2020,,,1,1263932.0,,1188598.6194963232
3421000,2022,,,1,255285.0,,210301.50753768845
3421000,2023,,,4,1923233.0,,1555850.1128522083
3421000,2024,1.0,16336633.0,1,16336633.0,12907701.971319085,12907701.971319085
3432250,2016,1.0,31091350.0,1,31091350.0,31737850.00459357,31737850.00459357
3432250,2018,1.0,4292768.0,1,4292768.0,4155833.2929957886,4155833.2929957886
3432250,2020,1.0,355786.0,1,355786.0,334580.300551073,334580.300551073
3432250,2024,1.0,9081312.0,1,9081312.0,7175215.896969936,7175215.896969936
3436000,2018,,,3,40494848.0,,39203105.66823176
3436000,2019,,,2,11427321.0,,10942251.012610955
3436000,2020,,,4,101194775.0,,95163323.5531983
3436000,2022,,,1,3160244.0,,2603380.8386193262
3436000,2024,,,1,13027088.0,,10292804.487812586
3451000,2017,1.0,5292077.0,1,5292077.0,5292077.0,5292077.0
3451000,2019,1.0,12619906.0,2,12778333.0,12084212.844598928,12235914.892802084
3451000,2020,1.0,4653934.0,2,4904166.0,4376548.364648574,4611865.936918129
3451000,2022,,,1,50541.0,,41635.22530686218
3451000,2023,1.0,3772074.0,5,4152836.0,3051518.8531950526,3359546.32603367
3451000,2024,1.0,450000.0,1,450000.0,355548.53237466916,355548.53237466916
3457000,2020,1.0,2434287.0,1,2434287.0,2289197.6527675902,2289197.6527675902
3457000,2025,1.0,2350000.0,1,2350000.0,1814433.6264737449,1814433.6264737449
3458200,2019,4.0,2734013.0,4,2734013.0,2617958.882728639,2617958.882728639
3458200,2020,1.0,2150510.0,1,2150510.0,2022334.4430025015,2022334.4430025015
3458200,2025,1.0,5647251.0,1,5647251.0,4360239.196398929,4360239.196398929
3474000,2023,1.0,5000994.0,1,5000994.0,4045686.1333354907,4045686.1333354907
3502000,2024,,,1,5000000.0,,3950539.248607435
3502000,2025,,,1,10000000.0,,7720994.155207424
3539380,2023,1.0,17144093.0,1,17144093.0,13869166.673408138,13869166.673408138
3570500,2021,1.0,4180000.0,1,4180000.0,3715291.357059054,3715291.357059054
3601000,2017,,,2,10795766.0,,10795766.0
3601000,2018,,,2,11775875.0,,11400237.184762089
3601000,2020,,,2,18804000.0,,17683236.472380523
3601000,2023,,,2,4575467.0,,3701444.831854255
3601000,2024,,,1,6381750.0,,5042270.7699601
3601000,2025,,,1,2732500.0,,2109761.6529104286
3611000,2004,,,1,4986541.0,,6844473.268821632
3611000,2009,,,1,17777801.0,,20642577.97078563
3611000,2018,,,2,12912050.0,,12500169.417687207
3611000,2022,,,1,36793832.0,,30310430.842738282
3611000,2023,,,1,2925000.0,,2366255.976313171
3611000,2024,,,2,7580000.0,,5989017.500888871
3611000,2025,,,1,43586525.0,,33653130.477080226
3633139,2020,1.0,290000.0,1,290000.0,272715.3040305441,272715.3040305441
3651000,2012,,,1,1125000.0,,1204741.8639766118
3651000,2016,,,1,1529467.68,,1561270.7654930942
3651000,2018,,,1,560000.0,,542136.599060942
3651000,2021,,,1,38884270.0,,34561337.86041882
3651000,2022,,,1,42651100.0,,35135596.01285114
3651000,2023,,,1,3000000.0,,2426929.2064750474
3663000,2022,1.0,335000.0,1,335000.0,275970.0140044485,275970.0140044485
3663000,2025,1.0,470000.0,1,470000.0,362886.72529474896,362886.72529474896
3665508,2017,1.0,18480500.0,1,18480500.0,18480500.0,18480500.0
3665508,2020,1.0,7728500.0,1,7728500.0,7267862.852414001,7267862.852414001
3665508,2023,2.0,9544917.0,2,9544917.0,7721612.613560063,7721612.613560063
3673000,2024,1.0,6481000.0,1,6481000.0,5120688.974044957,5120688.974044957
3675484,2016,1.0,4047802.0,1,4047802.0,4131970.233659647,4131970.233659647
3675484,2020,1.0,12166000.0,1,12166000.0,11440877.202881379,11440877.202881379
3675484,2022,1.0,8004184.0,1,8004184.0,6593775.434549798,6593775.434549798
3676540,2018,2.0,3688427.0,2,3688427.0,3570770.1244009873,3570770.1244009873
3676540,2019,1.0,2082500.0,1,2082500.0,1994101.4813325289,1994101.4813325289
3676540,2024,1.0,4268437.0,1,4268437.0,3372525.5797416344,3372525.5797416344
3712000,2017,1.0,20881929.0,1,20881929.0,20881929.0,20881929.0
3722920,2020,1.0,17912000.0,1,17912000.0,16844401.813086573,16844401.813086573
3722920,2021,2.0,22417214.0,2,22417214.0,19924995.555871584,19924995.555871584
3725580,2021,1.0,14000000.0,1,14000000.0,12443559.56909731,12443559.56909731
3728080,2014,1.0,9959308.0,1,9959308.0,10146924.63652943,10146924.63652943
3807200,2023,1.0,45000000.0,1,45000000.0,36403938.09712571,36403938.09712571
3825700,2018,2.0,146729000.0,2,146729000.0,142048501.86359456,142048501.86359456
3825700,2019,2.0,11000000.0,2,11000000.0,10533069.049055375,10533069.049055375
3825700,2021,2.0,4620000.0,2,4620000.0,4106374.657802112,4106374.657802112
3825700,2023,2.0,11348000.0,2,11348000.0,9180264.211692946,9180264.211692946
3825700,2024,1.0,15000000.0,1,15000000.0,11851617.745822305,11851617.745822305
3901000,2020,5.0,19542203.740000002,5,19542203.740000002,18377441.4978653,18377441.4978653
3901000,2021,2.0,3314420.59,2,3314420.59,2945942.1463362607,2945942.1463362607
3901000,2022,2.0,13969321.98,2,13969321.98,11507802.932696268,11507802.932696268
3901000,2023,18.0,331458624.86,18,331458624.86,268142205.80359674,268142205.80359674
3901000,2024,4.0,9683562.0,4,9683562.0,7651058.3494647015,7651058.3494647015
3901000,2025,1.0,9311400.0,1,9311400.0,7189326.497679842,7189326.497679842
3912000,2022,1.0,6335275.5,1,6335275.5,5218943.48793146,5218943.48793146
3912000,2023,2.0,7482763.97,2,7482763.97,6053379.474650725,6053379.474650725
3915000,2021,1.0,150000.0,1,150000.0,133323.8525260426,133323.8525260426
3915000,2022,1.0,150000.0,1,150000.0,123568.66298706648,123568.66298706648
3915000,2023,1.0,50000.0,1,50000.0,40448.820107917454,40448.820107917454
3915000,2024,,,1,50000.0,,39505.39248607435
3916000,2023,1.0,4451353.5,1,4451353.5,3601039.9391649747,3601039.9391649747
3918000,2020,9.0,28741839.67,10,28791839.67,27028757.048280016,27075776.928285282
3918000,2021,19.0,384864817.36,20,387441288.86,342077734.34777975,344367768.3898034
3918000,2022,11.0,34625582.71,16,36226245.79,28524246.40415191,29842858.382074304
3918000,2023,15.0,166108056.66,15,166108056.66,134377498.046322,134377498.046322
3918000,2024,19.0,202400933.67000002,22,207063336.31,159918566.48362502,163602367.4080512
3918000,2025,10.0,534335688.96999997,14,567334632.38,412560273.1456102,438038738.0652733
3921000,2020,2.0,12722934.0,2,12722934.0,11964616.599898437,11964616.599898437
3921000,2021,2.0,6666600.0,2,6666600.0,5925445.301667437,5925445.301667437
3921000,2023,1.0,25933589.0,1,25933589.0,20979661.52427334,20979661.52427334
3921000,2024,1.0,112066410.0,1,112066410.0,88544550.23110655,88544550.23110655
3921000,2025,1.0,150000.0,1,150000.0,115814.91232811137,115814.91232811137
3925256,2020,1.0,4616212.29,1,4616212.29,4341074.959092705,4341074.959092705
3925256,2022,2.0,30968235.5,2,30968235.5,25511356.372024056,25511356.372024056
3925256,2024,1.0,3142210.0,1,3142210.0,2482684.7864733534,2482684.7864733534
3944856,2020,1.0,457900.0,1,457900.0,430608.06108822813,430608.06108822813
3944856,2021,1.0,1676000.0,1,1676000.0,1489671.8455576494,1489671.8455576494
3944856,2023,3.0,9712582.0,3,9712582.0,7857249.642027942,7857249.642027942
3944856,2024,1.0,9627776.0,1,9627776.0,7606981.392960139,7606981.392960139
