state_abb,year,gdp_m
IA,2020,199449.6
IA,2021,225055.3
IA,2022,244156.8
IA,2023,253166.5
IA,2024,265794.5
KS,1997,74643.2
KS,1998,78242.3
KS,1999,81609.7
KS,2000,85990.5
KS,2001,88869.7
KS,2002,91359.0
KS,2003,95236.3
KS,2004,98913.7
KS,2005,105343.9
KS,2006,113831.8
KS,2007,123608.9
KS,2008,129223.2
KS,2009,126049.7
KS,2010,129235.7
KS,2011,136747.1
KS,2012,141812.1
KS,2013,144999.3
KS,2014,150276.1
KS,2015,155699.0
KS,2016,162144.5
KS,2017,166273.6
KS,2018,173373.0
KS,2019,176068.8
KS,2020,175385.6
KS,2021,188993.3
KS,2022,213368.8
KS,2023,224851.3
KS,2024,230522.1
KY,1997,104878.1
KY,1998,110020.1
KY,1999,115592.7
KY,2000,114549.6
KY,2001,117767.9
KY,2002,122731.2
KY,2003,128289.6
KY,2004,135694.5
KY,2005,144914.9
KY,2006,153009.8
KY,2007,156900.0
KY,2008,160700.2
KY,2009,157440.1
KY,2010,166656.3
KY,2011,171238.1
KY,2012,178370.6
KY,2013,184920.6
KY,2014,188326.4
KY,2015,194621.2
KY,2016,197944.8
KY,2017,203564.0
KY,2018,210509.1
KY,2019,220678.8
KY,2020,218948.6
KY,2021,238693.7
KY,2022,262586.6
KY,2023,283267.7
KY,2024,295375.3
LA,1997,116423.1
LA,1998,120228.8
LA,1999,125667.3
LA,2000,132375.8
LA,2001,138204.3
LA,2002,140082.8
LA,2003,155198.7
LA,2004,170999.6
LA,2005,199314.2
LA,2006,207249.8
LA,2007,203771.3
LA,2008,213803.5
LA,2009,206111.5
LA,2010,226555.6
LA,2011,230518.7
LA,2012,235960.9
LA,2013,231652.7
LA,2014,240965.0
LA,2015,234324.2
LA,2016,227440.3
LA,2017,239830.7
LA,2018,256444.4
LA,2019,257499.0
LA,2020,233652.0
LA,2021,273063.3
LA,2022,304299.3
LA,2023,318044.3
LA,2024,329172.8
ME,1997,30574.2
ME,1998,32412.8
ME,1999,34714.7
ME,2000,37222.0
ME,2001,38925.7
ME,2002,40664.1
ME,2003,42493.4
ME,2004,45233.1
ME,2005,47028.1
ME,2006,48889.3
ME,2007,50291.3
ME,2008,51001.9
ME,2009,51451.2
ME,2010,52802.5
ME,2011,53104.5
ME,2012,54018.5
ME,2013,54924.8
ME,2014,56537.4
ME,2015,58755.8
ME,2016,61092.2
ME,2017,63000.6
ME,2018,66216.0
ME,2019,69708.7
ME,2020,72309.7
ME,2021,79407.6
ME,2022,86310.6
ME,2023,93743.8
ME,2024,99174.1
MD,1997,159167.8
MD,1998,169360.1
MD,1999,179779.6
MD,2000,191430.2
MD,2001,205276.0
MD,2002,217001.4
MD,2003,226803.4
MD,2004,243449.8
MD,2005,261795.3
MD,2006,273791.0
MD,2007,282618.2
MD,2008,292908.3
MD,2009,298282.8
MD,2010,313930.5
MD,2011,324920.9
MD,2012,331869.0
MD,2013,339895.8
MD,2014,351743.1
MD,2015,367314.1
MD,2016,386496.4
MD,2017,399714.5
MD,2018,410771.8
MD,2019,419391.6
MD,2020,413804.5
MD,2021,447714.3
MD,2022,481861.4
MD,2023,515035.9
MD,2024,546028.4
