fips,geo_name,state_abb,facility_count_2022,total_needs_2022,design_flow_2022,tier0_needs,tier1_needs,tier2_needs,tier3_needs
3350260,nashua,NH,1.0,437683814.8291945,32.0,294654512.0,23581656.0,119447646.82919449,
3403580,bayonne,NJ,2.0,423628513.78295064,0.0,339691355.0,30361077.0,27426943.066971008,26149138.715979643
3410000,camden,NJ,6.0,1221906252.3254128,160.0,1046854259.0,,134991246.0,40060747.32541281
3419390,east orange,NJ,2.0,42426726.13907875,0.0,17562113.0,1534526.0,5688016.369847561,17642070.769231193
3420260,edison,NJ,,0.0,,,,0.0,
3421000,elizabeth,NJ,5.0,615637201.3592417,290.0,554921859.0,,5381500.922078665,55333841.437163085
3432250,hoboken,NJ,5.0,403208425.5930731,61.6,385233961.0,6468578.0,5890152.583417657,5615734.009655497
3436000,jersey city,NJ,3.0,1110580777.070193,0.0,974852218.0,,69482861.34961134,66245697.72058176
3451000,newark,NJ,4.0,2141638489.1912546,736.0,1998224830.0,,34965117.630152434,108448541.56110215
3456550,passaic,NJ,1.0,54709661.734140195,0.0,3909020.0,,36727992.43107523,14072649.303064965
3457000,paterson,NJ,2.0,294274916.1135301,0.0,157854793.0,,98629408.56892477,37790714.544605315
3458200,perth amboy,NJ,3.0,303605141.6480521,0.0,252267663.0,,30396108.0,20941370.648052074
3459190,plainfield,NJ,1.0,46112410.3863316,0.0,3909020.0,12831926.0,2603338.077921334,26768126.308410265
3474000,trenton,NJ,2.0,147468512.480001,54.0,37056422.0,1722066.0,74523780.0,34166244.480000995
3476070,vineland,NJ,2.0,472693820.1767403,16.4,5941729.0,,159499181.0,307252910.1767403
3502000,albuquerque,NM,6.0,5207881390.4598465,0.0,1227340815.0,403360894.0,769637317.0,2807542364.4598465
3539380,las cruces,NM,1.0,1355735307.372348,13.5,15145029.0,11152953.0,176035982.0,1153401343.372348
3563460,rio rancho,NM,2.0,2500413750.7472215,16.9,49667923.0,6476357.0,894649266.0,1549620204.7472215
3570500,santa fe,NM,1.0,1000724308.4205841,26.0,70693611.0,11190749.0,135753283.0,783086665.4205841
3601000,albany,NY,2.0,56576784.42295733,50.0,42974483.0,7709928.0,,5892373.422957334
3611000,buffalo,NY,4.0,216132813.05742416,720.0,196806273.0,6369474.0,1840950.0,11116116.057424147
3633139,hempstead,NY,,26500976.820163928,,,,25484929.0,1016047.8201639268
3649121,mount vernon,NY,2.0,3594384.8282619724,0.0,2385244.0,,,1209140.8282619726
3650617,new rochelle,NY,2.0,162209584.1109035,30.24,158152350.0,1225503.0,,2831731.1109035052
3651000,new york,NY,16.0,35925369795.03319,5630.0,31015599557.0,4827055308.0,,82714930.0331867
3663000,rochester,NY,4.0,68958700.34808902,470.0,57544267.0,1569419.0,,9845014.348089028
3665508,schenectady,NY,2.0,17241160.852168687,18.5,14265845.0,,,2975315.8521686867
3673000,syracuse,NY,2.0,185413978.88516068,160.0,169561894.0,7242356.0,1711006.0,6898722.8851606995
3675484,troy,NY,1.0,9221585.20904528,0.0,5119399.0,1250807.0,,2851379.209045279
3676540,utica,NY,3.0,134954546.1408504,108.0,127533944.0,2817017.0,,4603585.140850386
3681677,white plains,NY,,2680489.0439826087,,,,,2680489.0439826087
3684000,yonkers,NY,3.0,670002290.2478057,290.0,655599901.0,9445489.0,,4956900.247805717
3702140,asheville,NC,1.0,229656414.26145384,0.0,0.0,15920112.0,187486237.0,26250065.261453833
3709060,burlington,NC,1.0,114058143.5627224,0.0,27514432.0,5773987.0,63130231.0,17639493.5627224
3710740,cary,NC,2.0,512113780.1125552,49.6,272584961.0,132206904.0,72605254.04495555,34716661.06759967
3711800,chapel hill,NC,1.0,102554767.57776202,27.0,24934405.0,,65116526.0,12503836.577762024
3712000,charlotte,NC,5.0,4505509332.851174,210.0,3999852497.0,,326232480.0,179424355.85117444
3714100,concord,NC,1.0,87644491.82019538,0.0,12392483.0,9744183.0,28536883.482105505,36970942.33808987
3719000,durham,NC,3.0,258890937.96905237,80.0,169853398.0,,21626853.0,67410686.96905237
3722920,fayetteville,NC,1.0,362720293.5884319,50.0,147028373.0,32246255.0,97840800.0,85604865.5884319
3725580,gastonia,NC,1.0,102391680.15737835,12.0,0.0,4736193.0,67016004.0,30639483.157378342
3728000,greensboro,NC,3.0,452480505.8498283,112.0,297180587.0,,78011923.47538139,77287995.37444691
3728080,greenville,NC,2.0,171438645.4988153,35.0,49627724.0,36629166.0,63564580.0,21617175.498815313
